,아파트코드,단지명,시군구,주소.읍면동.,kapt도로명주소,세대타입.분양형태.,전용면적(㎡),계약년월,층,건축년도,주차대수,좌표X,좌표Y,범죄율,건물연식,대규모점포_거리,버스정류장_거리,지하철역_거리,학교_거리,유치원_거리,병원_거리,거래금액(만원),Unnamed: 0,년도,월,주택구매력지수,RIR,LIR
51,A10024756,순화동더샵,서울특별시 중구 순화동,순화동,서울특별시 중구 칠패로 27,분양,57.58,201611.0,13.0,2007.0,194.0,126.971987,37.559937,2.590409939,2.0,0.133059763,0.075284573,0.456351957,0.557222635,0.39338589,0.098933127,45000.0,58,2016,11,55.53607161,7.64,3.44
52,A10024756,순화동더샵,서울특별시 중구 순화동,순화동,서울특별시 중구 칠패로 27,분양,84.99,201706.0,15.0,2007.0,194.0,126.971987,37.559937,2.590409939,2.0,0.133059763,0.075284573,0.456351957,0.557222635,0.39338589,0.098933127,66400.0,65,2017,6,54.01512115,7.7,3.39
53,A10024756,순화동더샵,서울특별시 중구 순화동,순화동,서울특별시 중구 칠패로 27,분양,57.58,201707.0,13.0,2007.0,194.0,126.971987,37.559937,2.590409939,2.0,0.133059763,0.075284573,0.456351957,0.557222635,0.39338589,0.098933127,45600.0,66,2017,7,53.56659507,7.99,3.47
54,A10024756,순화동더샵,서울특별시 중구 순화동,순화동,서울특별시 중구 칠패로 27,분양,84.9,201707.0,24.0,2007.0,194.0,126.971987,37.559937,2.590409939,2.0,0.133059763,0.075284573,0.456351957,0.557222635,0.39338589,0.098933127,68000.0,66,2017,7,53.56659507,7.99,3.47
55,A10024756,순화동더샵,서울특별시 중구 순화동,순화동,서울특별시 중구 칠패로 27,분양,84.99,201707.0,11.0,2007.0,194.0,126.971987,37.559937,2.590409939,2.0,0.133059763,0.075284573,0.456351957,0.557222635,0.39338589,0.098933127,71000.0,66,2017,7,53.56659507,7.99,3.47
56,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,114.88,201608.0,9.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,73000.0,55,2016,8,62.08258035,7.04,3.06
57,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,114.88,201608.0,9.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,73000.0,55,2016,8,62.08258035,7.04,3.06
58,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,84.88,201608.0,7.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,60000.0,55,2016,8,62.08258035,7.04,3.06
59,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,84.88,201608.0,7.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,60000.0,55,2016,8,62.08258035,7.04,3.06
60,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,84.88,201608.0,11.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,60000.0,55,2016,8,62.08258035,7.04,3.06
61,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,84.88,201608.0,11.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,60000.0,55,2016,8,62.08258035,7.04,3.06
62,A10045301,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,임대,114.88,201608.0,14.0,2002.0,776.0,127.0072969,37.5467804,2.590409939,9.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,74000.0,55,2016,8,62.08258035,7.04,3.06
63,A10045302,남산타운,서울특별시 중구 신당동,신당동,서울특별시 중구 다산로 32,분양,114.88,201608.0,14.0,2002.0,3319.0,127.0072969,37.5467804,2.590409939,5.0,0.326423052,0.152833506,0.138708287,0.243796927,0.479956872,0.056988118,74000.0,55,2016,8,62.08258035,7.04,3.06
